month,city,country,climate_zone,latitude,longitude,avg_temp_c,pm25_ug_m3,no2_ppb,ozone_ppb,respiratory_visits
2025-03-01,Cairo,Egypt,desert,30.04,31.24,28.3,39.5,25.5,43.5,109
2025-03-01,Delhi,India,monsoon,28.61,77.21,29.2,54.0,31.6,44.7,136
2025-03-01,Tokyo,Japan,humid,35.68,139.69,30.0,40.5,33.7,45.9,115
2025-04-01,Los Angeles,USA,coastal,34.05,-118.24,25.0,9.0,19.0,39.0,47
2025-04-01,Chicago,USA,inland,41.88,-87.63,25.9,13.5,17.1,40.2,53
2025-04-01,Mexico City,Mexico,highland,19.43,-99.13,26.7,18.0,19.2,41.4,62
2025-04-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,15.6,22.5,21.3,42.6,70
2025-04-01,London,UK,temperate,51.51,-0.13,28.4,27.0,23.4,43.8,87
2025-04-01,Cairo,Egypt,desert,30.04,31.24,29.2,39.5,25.5,45.0,109
2025-04-01,Delhi,India,monsoon,28.61,77.21,30.1,54.0,31.6,46.2,136
2025-04-01,Tokyo,Japan,humid,35.68,139.69,30.9,40.5,33.7,47.4,115
2025-05-01,Los Angeles,USA,coastal,34.05,-118.24,24.1,9.0,19.0,37.5,47
2025-05-01,Chicago,USA,inland,41.88,-87.63,24.9,13.5,17.1,38.7,53
2025-05-01,Mexico City,Mexico,highland,19.43,-99.13,25.8,18.0,19.2,39.9,62
2025-05-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,16.2,22.5,21.3,41.1,70
2025-05-01,London,UK,temperate,51.51,-0.13,27.5,27.0,23.4,42.3,79
2025-05-01,Cairo,Egypt,desert,30.04,31.24,28.3,39.5,25.5,43.5,109
2025-05-01,Delhi,India,monsoon,28.61,77.21,29.2,54.0,31.6,44.7,136
2025-05-01,Tokyo,Japan,humid,35.68,139.69,30.0,40.5,33.7,45.9,115
2025-06-01,Los Angeles,USA,coastal,34.05,-118.24,21.5,9.0,19.0,33.5,47
2025-06-01,Chicago,USA,inland,41.88,-87.63,22.4,13.5,17.1,34.7,53
2025-06-01,Mexico City,Mexico,highland,19.43,-99.13,23.2,18.0,19.2,35.9,62
2025-06-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,18.1,22.5,21.3,37.1,70
2025-06-01,London,UK,temperate,51.51,-0.13,24.9,27.0,23.4,38.3,79
2025-06-01,Cairo,Egypt,desert,30.04,31.24,25.8,39.5,25.5,39.5,101
2025-06-01,Delhi,India,monsoon,28.61,77.21,26.6,54.0,31.6,40.7,128
2025-06-01,Tokyo,Japan,humid,35.68,139.69,27.4,40.5,33.7,41.9,107
2025-07-01,Los Angeles,USA,coastal,34.05,-118.24,18.0,9.0,19.0,28.0,47
2025-07-01,Chicago,USA,inland,41.88,-87.63,18.9,13.5,17.1,29.2,53
2025-07-01,Mexico City,Mexico,highland,19.43,-99.13,19.7,18.0,19.2,30.4,62
2025-07-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,20.6,22.5,21.3,31.6,70
2025-07-01,London,UK,temperate,51.51,-0.13,21.4,27.0,23.4,32.8,79
2025-07-01,Cairo,Egypt,desert,30.04,31.24,22.2,39.5,25.5,34.0,101
2025-07-01,Delhi,India,monsoon,28.61,77.21,23.1,54.0,31.6,35.2,128
2025-07-01,Tokyo,Japan,humid,35.68,139.69,23.9,40.5,33.7,36.4,107
2025-08-01,Los Angeles,USA,coastal,34.05,-118.24,14.5,12.5,19.0,22.5,53
2025-08-01,Chicago,USA,inland,41.88,-87.63,15.4,17.0,17.1,23.7,59
2025-08-01,Mexico City,Mexico,highland,19.43,-99.13,16.2,21.5,19.2,24.9,68
2025-08-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,23.1,26.0,21.3,26.1,76
2025-08-01,London,UK,temperate,51.51,-0.13,17.9,30.5,23.4,27.3,85
2025-08-01,Cairo,Egypt,desert,30.04,31.24,18.8,43.0,25.5,28.5,106
2025-08-01,Delhi,India,monsoon,28.61,77.21,19.6,57.5,31.6,29.7,134
2025-08-01,Tokyo,Japan,humid,35.68,139.69,20.4,44.0,33.7,30.9,113
2025-09-01,Los Angeles,USA,coastal,34.05,-118.24,11.9,15.1,19.0,18.5,57
2025-09-01,Chicago,USA,inland,41.88,-87.63,12.8,19.6,17.1,19.7,63
2025-09-01,Mexico City,Mexico,highland,19.43,-99.13,13.6,24.1,19.2,20.9,72
2025-09-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,24.9,28.6,21.3,22.1,80
2025-09-01,London,UK,temperate,51.51,-0.13,15.3,33.1,23.4,23.3,89
2025-09-01,Cairo,Egypt,desert,30.04,31.24,16.2,45.6,25.5,24.5,111
2025-09-01,Delhi,India,monsoon,28.61,77.21,17.0,60.1,31.6,25.7,138
2025-09-01,Tokyo,Japan,humid,35.68,139.69,17.9,46.6,33.7,26.9,117
2025-10-01,Los Angeles,USA,coastal,34.05,-118.24,11.0,16.0,19.0,17.0,58
2025-10-01,Chicago,USA,inland,41.88,-87.63,11.9,20.5,17.1,18.2,65
2025-10-01,Mexico City,Mexico,highland,19.43,-99.13,12.7,25.0,19.2,19.4,73
2025-10-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,25.6,29.5,21.3,20.6,82
2025-10-01,London,UK,temperate,51.51,-0.13,14.4,34.0,23.4,21.8,90
2025-10-01,Cairo,Egypt,desert,30.04,31.24,15.2,46.5,25.5,23.0,112
2025-10-01,Delhi,India,monsoon,28.61,77.21,16.1,61.0,31.6,24.2,140
2025-10-01,Tokyo,Japan,humid,35.68,139.69,16.9,47.5,33.7,25.4,118
2025-11-01,Los Angeles,USA,coastal,34.05,-118.24,11.9,15.1,19.0,18.5,57
2025-11-01,Chicago,USA,inland,41.88,-87.63,12.8,19.6,17.1,19.7,63
2025-11-01,Mexico City,Mexico,highland,19.43,-99.13,13.6,24.1,19.2,20.9,72
2025-11-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,24.9,28.6,21.3,22.1,80
2025-11-01,London,UK,temperate,51.51,-0.13,15.3,33.1,23.4,23.3,89
2025-11-01,Cairo,Egypt,desert,30.04,31.24,16.2,45.6,25.5,24.5,111
2025-11-01,Delhi,India,monsoon,28.61,77.21,17.0,60.1,31.6,25.7,138
2025-11-01,Tokyo,Japan,humid,35.68,139.69,17.9,46.6,33.7,26.9,117
2025-12-01,Los Angeles,USA,coastal,34.05,-118.24,14.5,12.5,19.0,22.5,53
2025-12-01,Chicago,USA,inland,41.88,-87.63,15.3,17.0,17.1,23.7,59
2025-12-01,Mexico City,Mexico,highland,19.43,-99.13,16.2,21.5,19.2,24.9,68
2025-12-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,23.1,26.0,21.3,26.1,76
2025-12-01,London,UK,temperate,51.51,-0.13,17.9,30.5,23.4,27.3,85
2025-12-01,Cairo,Egypt,desert,30.04,31.24,18.7,43.0,25.5,28.5,106
2025-12-01,Delhi,India,monsoon,28.61,77.21,19.6,57.5,31.6,29.7,134
2025-12-01,Tokyo,Japan,humid,35.68,139.69,20.4,44.0,33.7,30.9,113
