cohort_month,channel,device,visitors,signups,trials_started,purchases,revenue_usd,signup_rate_pct,trial_to_purchase_pct,avg_order_value_usd
2025-05,Organic Search,desktop,23120,1618,703,223,19847,7.0,31.72,89.0
2025-05,Organic Search,mobile,24020,1489,647,186,14322,6.2,28.75,77.0
2025-05,Email,desktop,25820,1962,873,261,25317,7.6,29.9,97.0
2025-05,Email,mobile,26720,1816,808,218,18530,6.8,26.98,85.0
2025-05,Social,desktop,28520,2338,900,253,26565,8.2,28.11,105.0
2025-05,Social,mobile,29420,2177,838,211,19623,7.4,25.18,93.0
2025-05,Affiliate,desktop,31220,2747,988,260,29380,8.8,26.32,113.0
2025-05,Affiliate,mobile,32120,2569,924,216,21816,8.0,23.38,101.0
2025-06,Paid Search,desktop,20900,1358,624,209,16929,6.5,33.49,81.0
2025-06,Paid Search,mobile,21800,1242,571,174,12006,5.7,30.47,69.0
2025-06,Organic Search,desktop,23600,1675,728,231,20559,7.1,31.73,89.0
2025-06,Organic Search,mobile,24500,1543,671,193,14861,6.3,28.76,77.0
2025-06,Email,desktop,26300,2025,901,270,26190,7.7,29.97,97.0
2025-06,Email,mobile,27200,1876,834,225,19125,6.9,26.98,85.0
2025-06,Social,desktop,29000,2407,926,261,27405,8.3,28.19,105.0
2025-06,Social,mobile,29900,2242,863,217,20181,7.5,25.14,93.0
2025-06,Affiliate,desktop,31700,2821,1015,267,30171,8.9,26.31,113.0
2025-06,Affiliate,mobile,32600,2640,950,222,22422,8.1,23.37,101.0
2025-07,Paid Search,desktop,21380,1411,649,218,17658,6.6,33.59,81.0
2025-07,Paid Search,mobile,22280,1292,594,181,12489,5.8,30.47,69.0
2025-07,Organic Search,desktop,24080,1733,753,239,21271,7.2,31.74,89.0
2025-07,Organic Search,mobile,24980,1598,695,200,15400,6.4,28.78,77.0
2025-07,Email,desktop,26780,2088,929,278,26966,7.8,29.92,97.0
2025-07,Email,mobile,27680,1937,861,232,19720,7.0,26.95,85.0
2025-07,Social,desktop,29480,2476,953,268,28140,8.4,28.12,105.0
2025-07,Social,mobile,30380,2308,888,223,20739,7.6,25.11,93.0
2025-07,Affiliate,desktop,32180,2896,1042,275,31075,9.0,26.39,113.0
2025-07,Affiliate,mobile,33080,2712,976,228,23028,8.2,23.36,101.0
2025-08,Paid Search,desktop,21860,1464,673,226,18306,6.7,33.58,81.0
2025-08,Paid Search,mobile,22760,1342,617,188,12972,5.9,30.47,69.0
2025-08,Organic Search,desktop,24560,1792,779,247,21983,7.3,31.71,89.0
2025-08,Organic Search,mobile,25460,1654,719,207,15939,6.5,28.79,77.0
2025-08,Email,desktop,27260,2153,958,287,27839,7.9,29.96,97.0
2025-08,Email,mobile,28160,1999,889,240,20400,7.1,27.0,85.0
2025-08,Social,desktop,29960,2546,980,276,28980,8.5,28.16,105.0
2025-08,Social,mobile,30860,2376,914,230,21390,7.7,25.16,93.0
2025-08,Affiliate,desktop,32660,2972,1069,282,31866,9.1,26.38,113.0
2025-08,Affiliate,mobile,33560,2785,1002,234,23634,8.3,23.35,101.0
2025-09,Paid Search,desktop,22340,1519,698,234,18954,6.8,33.52,81.0
2025-09,Paid Search,mobile,23240,1394,641,196,13524,6.0,30.58,69.0
2025-09,Organic Search,desktop,25040,1852,805,255,22695,7.4,31.68,89.0
2025-09,Organic Search,mobile,25940,1712,744,214,16478,6.6,28.76,77.0
2025-09,Email,desktop,27740,2219,987,296,28712,8.0,29.99,97.0
2025-09,Email,mobile,28640,2062,917,247,20995,7.2,26.94,85.0
2025-09,Social,desktop,30440,2617,1007,283,29715,8.6,28.1,105.0
2025-09,Social,mobile,31340,2444,940,236,21948,7.8,25.11,93.0
2025-09,Affiliate,desktop,33140,3048,1097,289,32657,9.2,26.34,113.0
2025-09,Affiliate,mobile,34040,2859,1029,240,24240,8.4,23.32,101.0
2025-10,Paid Search,desktop,22820,1574,724,243,19683,6.9,33.56,81.0
2025-10,Paid Search,mobile,23720,1446,665,203,14007,6.1,30.53,69.0
2025-10,Organic Search,desktop,25520,1914,832,264,23496,7.5,31.73,89.0
2025-10,Organic Search,mobile,26420,1770,769,221,17017,6.7,28.74,77.0
2025-10,Email,desktop,28220,2285,1016,304,29488,8.1,29.92,97.0
2025-10,Email,mobile,29120,2125,945,255,21675,7.3,26.98,85.0
2025-10,Social,desktop,30920,2690,1035,291,30555,8.7,28.12,105.0
2025-10,Social,mobile,31820,2513,967,243,22599,7.9,25.13,93.0
2025-10,Affiliate,desktop,33620,3126,1125,297,33561,9.3,26.4,113.0
2025-10,Affiliate,mobile,34520,2934,1056,247,24947,8.5,23.39,101.0
2025-11,Paid Search,desktop,23300,1631,750,252,20412,7.0,33.6,81.0
2025-11,Paid Search,mobile,24200,1500,690,211,14559,6.2,30.58,69.0
2025-11,Organic Search,desktop,26000,1975,859,273,24297,7.6,31.78,89.0
2025-11,Organic Search,mobile,26900,1829,795,228,17556,6.8,28.68,77.0
2025-11,Email,desktop,28700,2353,1047,314,30458,8.2,29.99,97.0
2025-11,Email,mobile,29600,2190,974,262,22270,7.4,26.9,85.0
2025-11,Social,desktop,31400,2763,1063,299,31395,8.8,28.13,105.0
2025-11,Social,mobile,32300,2584,994,250,23250,8.0,25.15,93.0
2025-11,Affiliate,desktop,34100,3205,1153,304,34352,9.4,26.37,113.0
2025-11,Affiliate,mobile,35000,3009,1083,253,25553,8.6,23.36,101.0
2025-12,Paid Search,desktop,23780,1688,776,260,21060,7.1,33.51,81.0
2025-12,Paid Search,mobile,24680,1554,714,218,15042,6.3,30.53,69.0
2025-12,Organic Search,desktop,26480,2038,886,281,25009,7.7,31.72,89.0
2025-12,Organic Search,mobile,27380,1889,821,236,18172,6.9,28.75,77.0
2025-12,Email,desktop,29180,2421,1077,323,31331,8.3,29.99,97.0
2025-12,Email,mobile,30080,2256,1003,270,22950,7.5,26.92,85.0
2025-12,Social,desktop,31880,2837,1092,307,32235,8.9,28.11,105.0
2025-12,Social,mobile,32780,2655,1022,257,23901,8.1,25.15,93.0
2025-12,Affiliate,desktop,34580,3285,1182,312,35256,9.5,26.4,113.0
2025-12,Affiliate,mobile,35480,3086,1110,259,26159,8.7,23.33,101.0
